fundo	parcela	lote	producto	dosis	volumen	area	toneladas
Mar Verde	PARCELA 25	L848	AMINOTERRA	3	800	2.28	17.55003754
Mar Verde	PARCELA 25	L848	ARGENFRUT	15.80666667	1800	2.93	17.55003754
Mar Verde	PARCELA 25	L848	BIOIL-S/ENHANCE	20	2000	2.28	17.55003754
Mar Verde	PARCELA 25	L848	BONUM	0.6	800	2.28	17.55003754
Mar Verde	PARCELA 25	L848	BTK-CROPS	4	2000	4.56	17.55003754
Mar Verde	PARCELA 25	L848	CALCI-B	3	800	2.28	17.55003754
Mar Verde	PARCELA 25	L848	CHUNGAR	1.581	1800	2.93	17.55003754
Mar Verde	PARCELA 25	L848	CITOBLOOM 2.4	1	800	1.95	17.55003754
Mar Verde	PARCELA 25	L848	CROPS CANELA	1.609761905	1923.809524	21.63	17.55003754
Mar Verde	PARCELA 25	L848	EMACTIN 5% SG	0.8	2000	2.28	17.55003754
Mar Verde	PARCELA 25	L848	ESENFOL CaB ZINC	3	900	2.28	17.55003754
Mar Verde	PARCELA 25	L848	FAST THRU	0.2638	1760	11.4	17.55003754
Mar Verde	PARCELA 25	L848	GF-120	1.6	860.6647619	13.11	17.55003754
Mar Verde	PARCELA 25	L848	GLADIADOR	2.186666667	1888.888889	9.77	17.55003754
Mar Verde	PARCELA 25	L848	HIPOCLORITO SODIO 5%	0.0747	1680	22.8	17.55003754
Mar Verde	PARCELA 25	L848	KELPURA	3	600	2.28	17.55003754
Mar Verde	PARCELA 25	L848	KEYLATE BORO	2	900	2.28	17.55003754
Mar Verde	PARCELA 25	L848	LICTHOR	4	100	6.84	17.55003754
Mar Verde	PARCELA 25	L848	MAXI COVER	0.202722222	1350	41.04	17.55003754
Mar Verde	PARCELA 25	L848	MICROCAT ZINC	0.6	900	2.28	17.55003754
Mar Verde	PARCELA 25	L848	POTENSIL	2	2000	11.4	17.55003754
Mar Verde	PARCELA 25	L848	ROBUST 5 SC	3	600	2.28	17.55003754
Mar Verde	PARCELA 25	L848	ROXICOP	2	1000	2.28	17.55003754
Mar Verde	PARCELA 25	L848	SBQ	2.399833333	1200	6.84	17.55003754
Mar Verde	PARCELA 25	L848	STRICTO	1	100	2.28	17.55003754
Mar Verde	PARCELA 25	L848	TACHIGAREN	2	100	2.28	17.55003754
Mar Verde	PARCELA 25	L848	X-CYTE	1.20025	850	4.89	17.55003754
Mar Verde	PARCELA 25	L849	ACAPROX	3	2000	6.45	19.48313112
Mar Verde	PARCELA 25	L849	ACIDO FOSFORICO 85%	0.15025	2000	2.15	19.48313112
Mar Verde	PARCELA 25	L849	ALGASIL	1	1700	6.45	19.48313112
Mar Verde	PARCELA 25	L849	AMINOTERRA	3	800	2.15	19.48313112
Mar Verde	PARCELA 25	L849	ARGENFRUT	15.80666667	1800	3.15	19.48313112
Mar Verde	PARCELA 25	L849	BIOIL-S/ENHANCE	20	2000	2.15	19.48313112
Mar Verde	PARCELA 25	L849	BONUM	0.6	800	2.15	19.48313112
Mar Verde	PARCELA 25	L849	BTK-CROPS	4	2000	4.3	19.48313112
Mar Verde	PARCELA 25	L849	CALCI-B	3	800	2.15	19.48313112
Mar Verde	PARCELA 25	L849	CHUNGAR	1.581	1800	3.15	19.48313112
Mar Verde	PARCELA 25	L849	CITOBLOOM 2.4	1	800	1.82	19.48313112
Mar Verde	PARCELA 25	L849	CROPS CANELA	1.609761905	1923.809524	20.46	19.48313112
Mar Verde	PARCELA 25	L849	EMACTIN 5% SG	0.8	2000	2.15	19.48313112
Mar Verde	PARCELA 25	L849	ESENFOL CaB ZINC	3	900	2.15	19.48313112
Mar Verde	PARCELA 25	L849	FAST THRU	0.2638	1760	10.75	19.48313112
Mar Verde	PARCELA 25	L849	GF-120	1.600086957	872.9552174	14.07	19.48313112
Mar Verde	PARCELA 25	L849	GLADIADOR	2.186666667	1888.888889	9.6	19.48313112
Mar Verde	PARCELA 25	L849	HIPOCLORITO SODIO 5%	0.0747	1680	21.5	19.48313112
Mar Verde	PARCELA 25	L849	KELPURA	3	600	2.15	19.48313112
Mar Verde	PARCELA 25	L849	KEYLATE BORO	2	900	2.15	19.48313112
Mar Verde	PARCELA 25	L849	LICTHOR	4	100	6.45	19.48313112
Mar Verde	PARCELA 25	L849	MAXI COVER	0.202722222	1350	38.7	19.48313112
Mar Verde	PARCELA 25	L849	MICROCAT ZINC	0.6	900	2.15	19.48313112
Mar Verde	PARCELA 25	L849	POTENSIL	2	2000	10.75	19.48313112
Mar Verde	PARCELA 25	L849	ROBUST 5 SC	3	600	2.15	19.48313112
Mar Verde	PARCELA 25	L849	ROXICOP	2	1000	2.15	19.48313112
Mar Verde	PARCELA 25	L849	SBQ	2.399833333	1200	6.45	19.48313112
Mar Verde	PARCELA 25	L849	STRICTO	1	100	2.15	19.48313112
Mar Verde	PARCELA 25	L849	TACHIGAREN	2	100	2.15	19.48313112
Mar Verde	PARCELA 25	L849	X-CYTE	1.20025	850	4.63	19.48313112
Mar Verde	PARCELA 25	L850	ACAPROX	3	2000	6.84	18.55289997
Mar Verde	PARCELA 25	L850	ACIDO FOSFORICO 85%	0.14975	2000	2.28	18.55289997
Mar Verde	PARCELA 25	L850	ALGASIL	1	1700	6.84	18.55289997
Mar Verde	PARCELA 25	L850	AMINOTERRA	3	800	2.28	18.55289997
Mar Verde	PARCELA 25	L850	ARGENFRUT	14.71	1800	2.28	18.55289997
Mar Verde	PARCELA 25	L850	BAMECTIN	1.5	2000	0.31	18.55289997
Mar Verde	PARCELA 25	L850	BIOIL-S/ENHANCE	20	2272.725	2.28	18.55289997
Mar Verde	PARCELA 25	L850	BONUM	0.6	800	2.28	18.55289997
Mar Verde	PARCELA 25	L850	BTK-CROPS	4	2000	4.56	18.55289997
Mar Verde	PARCELA 25	L850	CALCI-B	3	800	2.28	18.55289997
Mar Verde	PARCELA 25	L850	CHUNGAR	1.4715	1800	2.28	18.55289997
Mar Verde	PARCELA 25	L850	CITOBLOOM 2.4	1	800	2.28	18.55289997
Mar Verde	PARCELA 25	L850	CLOSER 240 SC	0.229	2000	1.88	18.55289997
Mar Verde	PARCELA 25	L850	CROPS CANELA	1.455789474	1905.263158	22.8	18.55289997
Mar Verde	PARCELA 25	L850	EMACTIN 5% SG	0.7995	2000	2.28	18.55289997
Mar Verde	PARCELA 25	L850	ESENFOL CaB ZINC	3	800	2.28	18.55289997
Mar Verde	PARCELA 25	L850	FAST THRU	0.2638	1760	11.4	18.55289997
Mar Verde	PARCELA 25	L850	GF-120	1.599875	836.7483333	15.135	18.55289997
Mar Verde	PARCELA 25	L850	GLADIADOR	1.817625	1900	9.12	18.55289997
Mar Verde	PARCELA 25	L850	HIPOCLORITO SODIO 5%	0.074421053	1663.157895	22.8	18.55289997
Mar Verde	PARCELA 25	L850	KELPURA	3	600	2.28	18.55289997
Mar Verde	PARCELA 25	L850	KEYLATE BORO	2	800	2.28	18.55289997
Mar Verde	PARCELA 25	L850	LICTHOR	4	100	6.84	18.55289997
Mar Verde	PARCELA 25	L850	MAXI COVER	0.208823529	1394.117647	41.35	18.55289997
Mar Verde	PARCELA 25	L850	MICROCAT ZINC	0.5995	800	2.28	18.55289997
Mar Verde	PARCELA 25	L850	POTENSIL	2	2000	11.4	18.55289997
Mar Verde	PARCELA 25	L850	ROBUST 5 SC	3	600	2.28	18.55289997
Mar Verde	PARCELA 25	L850	ROXICOP	2	1000	2.28	18.55289997
Mar Verde	PARCELA 25	L850	SBQ	2.3998	1200	6.84	18.55289997
Mar Verde	PARCELA 25	L850	STRICTO	1	100	2.28	18.55289997
Mar Verde	PARCELA 25	L850	TACHIGAREN	2	100	2.28	18.55289997
Mar Verde	PARCELA 25	L850	X-CYTE	1.201333333	800	4.56	18.55289997
Mar Verde	PARCELA 25	L851	ACAPROX	3	2000	6.84	20.73522648
Mar Verde	PARCELA 25	L851	ACIDO FOSFORICO 85%	0.15	2000	2.28	20.73522648
Mar Verde	PARCELA 25	L851	ALGASIL	1	1600	6.84	20.73522648
Mar Verde	PARCELA 25	L851	AMINOTERRA	3	800	2.28	20.73522648
Mar Verde	PARCELA 25	L851	ARGENFRUT	18	1800	2.28	20.73522648
Mar Verde	PARCELA 25	L851	BIOIL-S/ENHANCE	20	2000	2.28	20.73522648
Mar Verde	PARCELA 25	L851	BONUM	0.6	800	2.28	20.73522648
Mar Verde	PARCELA 25	L851	BTK-CROPS	4	2000	6.84	20.73522648
Mar Verde	PARCELA 25	L851	CALCI-B	3	800	2.28	20.73522648
Mar Verde	PARCELA 25	L851	CHUNGAR	1.8	1800	2.28	20.73522648
Mar Verde	PARCELA 25	L851	CITOBLOOM 2.4	1	800	2.28	20.73522648
Mar Verde	PARCELA 25	L851	CROPS CANELA	1.520133333	1893.333333	17.29	20.73522648
Mar Verde	PARCELA 25	L851	ESENFOL CaB ZINC	3	1000	2.28	20.73522648
Mar Verde	PARCELA 25	L851	FAST THRU	0.2638	1760.501	11.4	20.73522648
Mar Verde	PARCELA 25	L851	GF-120	1.583826087	959.5973913	14.22	20.73522648
Mar Verde	PARCELA 25	L851	GLADIADOR	1.866666667	1866.666667	6.84	20.73522648
Mar Verde	PARCELA 25	L851	HIPOCLORITO SODIO 5%	0.078166667	1755.833889	22.8	20.73522648
Mar Verde	PARCELA 25	L851	KELPURA	3	600	2.28	20.73522648
Mar Verde	PARCELA 25	L851	KEYLATE BORO	2	1000	2.28	20.73522648
Mar Verde	PARCELA 25	L851	LICTHOR	4	100	6.84	20.73522648
Mar Verde	PARCELA 25	L851	MAXI COVER	0.205862069	1372.413793	41.04	20.73522648
Mar Verde	PARCELA 25	L851	MICROCAT ZINC	0.6	1000	2.28	20.73522648
Mar Verde	PARCELA 25	L851	POTENSIL	2	2000.501	11.4	20.73522648
Mar Verde	PARCELA 25	L851	ROBUST 5 SC	3	600	2.28	20.73522648
